rank,company_name,company_link,country,company_background,company_info,unicorn_joined_date,unicorn_joined_year,sector,city,stage,founded_year,time_to_unicorn,months_to_unicorn,round_led_by,top_investor_1,top_investor_2,top_investors,valuation_usd_bn,total_funding_usd_mn,annual_revenue_cr,employees,latest_round,round_stage,round_year,round_amount_mn,embedding_text
91,ElasticRun,https://tracxn.com/d/companies/elasticrun/__D5twyf2sSsaToMKFo452P6DiWPDTLaatrV2auy25NnQ,India,"Provider of B2B e-commerce and logistics solutions for rural markets. It offers a platform connecting brands directly with rural retailers, facilitating efficient product distribution and sales. It also provides a comprehensive logistics network to support the delivery of goods. The platform's technology stack enables streamlined operations and business management for both brands and retailers. The services offered aim to improve access to goods and services in underserved areas.","ElasticRun joined the Unicorn Club on Feb 08, 2022",2022-02-08,2022,e-commerce_enablers,pune,Series E,2014,8 years 1 month,97,,Rural Ecommerce,In Store Retail Tech,"Rural Ecommerce, In Store Retail Tech",0.8,462.0,2540.0,1253.0,"Series E, Feb 07, 2022, $330M",Series E,2022,330.0,"ElasticRun is an Indian unicorn startup. It operates in the e-commerce_enablers sector. It is based in Pune. Current stage: Series E. Provider of B2B e-commerce and logistics solutions for rural markets. It offers a platform connecting brands directly with rural retailers, facilitating efficient product distribution and sales. It also provides a comprehensive logistics network to support the delivery of goods. The platform's technology stack enables streamlined operations and business management for both brands and retailers. The services offered aim to improve access to goods and services in underserved areas. ElasticRun joined the Unicorn Club on Feb 08, 2022 Founded in 2014. Time taken to reach unicorn status: 8 years 1 month. Joined the unicorn club on 2022-02-08. Became a unicorn in 2022. Investors include Rural Ecommerce, In Store Retail Tech. Valuation: 0.8 billion USD. Total funding raised: 462.0 million USD. Annual revenue: 2540.0 crore INR. It employs approximately 1253 people. Latest funding round: Series E. The round took place in 2022. Round amount: 330.0 million USD."
90,LivSpace,https://tracxn.com/d/companies/livspace/__jW3bucmuxxt7wnW0Ru8fEhLj0iTod5V8Roa0OsWdp9I,India,"Provider of end-to-end home interior design and renovation services. It offers modular solutions for kitchens, wardrobes, and other spaces. Services include design, material sourcing, installation, and project management for both new constructions and renovations. It also provides price calculators for various projects to aid in budgeting. The company offers various design styles and caters to diverse customer preferences. A focus is placed on efficient project completion and customer satisfaction.","LivSpace joined the Unicorn Club on Feb 07, 2022 after raising a $184M Series F funding round led by , ,  and  more, valuing it at $957M.",2022-02-07,2022,home_improvements,bangalore,Series F,2014,8 years 1 month,97,KKR,Property Management Tech,Local Services,"Property Management Tech, Local Services",,527.0,960.0,5210.0,"Series F, Feb 29, 2024",Series F,2024,,"LivSpace is an Indian unicorn startup. It operates in the home_improvements sector. It is based in Bangalore. Current stage: Series F. Provider of end-to-end home interior design and renovation services. It offers modular solutions for kitchens, wardrobes, and other spaces. Services include design, material sourcing, installation, and project management for both new constructions and renovations. It also provides price calculators for various projects to aid in budgeting. The company offers various design styles and caters to diverse customer preferences. A focus is placed on efficient project completion and customer satisfaction. LivSpace joined the Unicorn Club on Feb 07, 2022 after raising a $184M Series F funding round led by , ,  and  more, valuing it at $957M. Founded in 2014. Time taken to reach unicorn status: 8 years 1 month. Joined the unicorn club on 2022-02-07. Became a unicorn in 2022. Investors include Property Management Tech, Local Services, latest round led by KKR. Total funding raised: 527.0 million USD. Annual revenue: 960.0 crore INR. It employs approximately 5210 people. Latest funding round: Series F. The round took place in 2024."
89,DealShare,https://tracxn.com/d/companies/dealshare/__Be_ZMDvJ1M0TqW0p-1XDFDlofY_8IbxqYs1CbvSfEcM,India,"Online social deal-sharing platform for multi-category products. The company offers deals on various products like fruits & vegetables, grocery items, fashion accessories, home decor products, and more. It allows users to buy and share deals with their friends. The company offers discounts depending on the number of people purchasing its products.","DealShare joined the Unicorn Club on Jan 27, 2022 after raising a $210M Series E funding round led by , , valuing it at $1.71B.",2022-01-27,2022,social_commerce,bangalore,Series E,2018,4 years,48,Tiger Global Management,Online Grocery,WestBridge Capital,"Online Grocery, WestBridge Capital",1.396,387.0,600.0,227.0,"Series E, Jan 27, 2022, $210M",Series E,2022,210.0,"DealShare is an Indian unicorn startup. It operates in the social_commerce sector. It is based in Bangalore. Current stage: Series E. Online social deal-sharing platform for multi-category products. The company offers deals on various products like fruits & vegetables, grocery items, fashion accessories, home decor products, and more. It allows users to buy and share deals with their friends. The company offers discounts depending on the number of people purchasing its products. DealShare joined the Unicorn Club on Jan 27, 2022 after raising a $210M Series E funding round led by , , valuing it at $1.71B. Founded in 2018. Time taken to reach unicorn status: 4 years. Joined the unicorn club on 2022-01-27. Became a unicorn in 2022. Investors include Online Grocery, WestBridge Capital, latest round led by Tiger Global Management. Valuation: 1.396 billion USD. Total funding raised: 387.0 million USD. Annual revenue: 600.0 crore INR. It employs approximately 227 people. Latest funding round: Series E. The round took place in 2022. Round amount: 210.0 million USD."
88,Darwinbox,https://tracxn.com/d/companies/darwinbox/__ZCneLgVtiUmrHNSY4KraMosyXpf9MPS6bB1_9kIpQmk,India,"Cloud-based suite solutions for HR management. The product modules include AI augmented workforce analytics, OCR and HR automation, payroll and talent management, employee engagement, onboarding, recruitment, expense management, rewards, and recognition, shift rostering, workflow and knowledge management and more. It also enables users to manage their time, attendance, leave, vacations, insights, payslips and more. It also offers employee data management and training resources such as documentation, live online sessions, videos, webinars, and in-person training.","Darwinbox joined the Unicorn Club on Jan 25, 2022",2022-01-25,2022,hrtech,hyderabad,Series D,2015,7 years,84,,TCV,KKR,"TCV, KKR",0.924,280.0,393.0,1049.0,"Series D, Mar 05, 2025, $140M",Series D,2025,140.0,"Darwinbox is an Indian unicorn startup. It operates in the hrtech sector. It is based in Hyderabad. Current stage: Series D. Cloud-based suite solutions for HR management. The product modules include AI augmented workforce analytics, OCR and HR automation, payroll and talent management, employee engagement, onboarding, recruitment, expense management, rewards, and recognition, shift rostering, workflow and knowledge management and more. It also enables users to manage their time, attendance, leave, vacations, insights, payslips and more. It also offers employee data management and training resources such as documentation, live online sessions, videos, webinars, and in-person training. Darwinbox joined the Unicorn Club on Jan 25, 2022 Founded in 2015. Time taken to reach unicorn status: 7 years. Joined the unicorn club on 2022-01-25. Became a unicorn in 2022. Investors include TCV, KKR. Valuation: 0.924 billion USD. Total funding raised: 280.0 million USD. Annual revenue: 393.0 crore INR. It employs approximately 1049 people. Latest funding round: Series D. The round took place in 2025. Round amount: 140.0 million USD."
87,LEAD School,https://tracxn.com/d/companies/lead-school/__oe2fP0y2p5mZsRCJMPA-zjkY8OB81N8chnQAbwrkRSM,India,"Provider of a digital learning solutions for schools and teachers. The company provides a comprehensive digital learning platform designed to enhance the educational experience for students, teachers, and administrators. This includes curriculum resources, teacher training programs, and technological tools to support both in-school and at-home learning. The platform offers features such as student and class management systems, digital classrooms, and assessment tools. The company also supports teacher professional development through online academies and in-person workshops. The goal is to empower educators and improve student outcomes through technology-integrated learning.","LEAD School joined the Unicorn Club on Jan 12, 2022 after raising a $101M Series E funding round led by , , valuing it at $1.13B.",2022-01-12,2022,k-12_edtech,mumbai,Series E,2012,10 years,120,WestBridge Capital,WestBridge Capital,Standard Chartered,"WestBridge Capital, Standard Chartered",0.997,172.0,370.0,1121.0,"Series E, Jan 04, 2024, $1.14M",Series E,2024,1.1,"LEAD School is an Indian unicorn startup. It operates in the k-12_edtech sector. It is based in Mumbai. Current stage: Series E. Provider of a digital learning solutions for schools and teachers. The company provides a comprehensive digital learning platform designed to enhance the educational experience for students, teachers, and administrators. This includes curriculum resources, teacher training programs, and technological tools to support both in-school and at-home learning. The platform offers features such as student and class management systems, digital classrooms, and assessment tools. The company also supports teacher professional development through online academies and in-person workshops. The goal is to empower educators and improve student outcomes through technology-integrated learning. LEAD School joined the Unicorn Club on Jan 12, 2022 after raising a $101M Series E funding round led by , , valuing it at $1.13B. Founded in 2012. Time taken to reach unicorn status: 10 years. Joined the unicorn club on 2022-01-12. Became a unicorn in 2022. Investors include WestBridge Capital, Standard Chartered, latest round led by WestBridge Capital. Valuation: 0.997 billion USD. Total funding raised: 172.0 million USD. Annual revenue: 370.0 crore INR. It employs approximately 1121 people. Latest funding round: Series E. The round took place in 2024. Round amount: 1.1 million USD."
86,Fractal Analytics,https://tracxn.com/d/companies/fractal-analytics/__F79MJo3SBJC1a817Xo1C4y6LFAxk7nRoG1bL5Qk5Pt0,United States,"AI powered decision support and data analytics software for enterprises. It enables users to ask questions, and the AI generates answers based on user queries. The platform generates insights and summaries from the datasets. The platform allows users to analyze business data and generate insights for business decision making. Its offering includes forecasting, consumer insights, customer life cycle management, data engineering, MLops, image, and video analytics, and more. It caters its solution to industries such as finance, retail, healthcare, insurance, and more.","Fractal Analytics joined the Unicorn Club on Jan 05, 2022 after raising a $360M Series E funding round led by , valuing it at $1B.",2022-01-05,2022,business_intelligence,new york city,Series E,2000,22 years,264,TPG,Natural Language Processing,Generative AI,"Natural Language Processing, Generative AI",1.0,685.0,2040.0,4070.0,"Series E, Jan 05, 2022, $360M",Series E,2022,360.0,"Fractal Analytics is an Indian unicorn startup. It operates in the business_intelligence sector. It is based in New York City. Current stage: Series E. AI powered decision support and data analytics software for enterprises. It enables users to ask questions, and the AI generates answers based on user queries. The platform generates insights and summaries from the datasets. The platform allows users to analyze business data and generate insights for business decision making. Its offering includes forecasting, consumer insights, customer life cycle management, data engineering, MLops, image, and video analytics, and more. It caters its solution to industries such as finance, retail, healthcare, insurance, and more. Fractal Analytics joined the Unicorn Club on Jan 05, 2022 after raising a $360M Series E funding round led by , valuing it at $1B. Founded in 2000. Time taken to reach unicorn status: 22 years. Joined the unicorn club on 2022-01-05. Became a unicorn in 2022. Investors include Natural Language Processing, Generative AI, latest round led by TPG. Valuation: 1.0 billion USD. Total funding raised: 685.0 million USD. Annual revenue: 2040.0 crore INR. It employs approximately 4070 people. Latest funding round: Series E. The round took place in 2022. Round amount: 360.0 million USD."
85,Mamaearth,https://tracxn.com/d/companies/mamaearth/__e9IhGi4vcWYMieVXmjjqGyG7HyDm3uSbrTRkGggsf9M,India,"Online brand offering multi-category natural skin care and makeup products. It includes shampoos, conditioners, body lotions, face wash, body wash, moisturizers, lip balms, and more. It also offers baby care products and color cosmetics like lipsticks, lip balms, foundation, concealers, and more.","Mamaearth joined the Unicorn Club on Dec 29, 2021",2021-12-29,2021,beauty_&_personal_care_products,gurgaon,Public,2016,5 years 11 months,71,,Beauty Tech,Sofina,"Beauty Tech, Sofina",0.089,,1970.0,958.0,"Angel, Sep 13, 2022, $755K",Angel,2022,,"Mamaearth is an Indian unicorn startup. It operates in the beauty_&_personal_care_products sector. It is based in Gurgaon. Current stage: Public. Online brand offering multi-category natural skin care and makeup products. It includes shampoos, conditioners, body lotions, face wash, body wash, moisturizers, lip balms, and more. It also offers baby care products and color cosmetics like lipsticks, lip balms, foundation, concealers, and more. Mamaearth joined the Unicorn Club on Dec 29, 2021 Founded in 2016. Time taken to reach unicorn status: 5 years 11 months. Joined the unicorn club on 2021-12-29. Became a unicorn in 2021. Investors include Beauty Tech, Sofina. Valuation: 0.089 billion USD. Annual revenue: 1970.0 crore INR. It employs approximately 958 people. Latest funding round: Angel. The round took place in 2022."
84,GlobalBees,https://tracxn.com/d/companies/globalbees/__9KuW22FoOfUKIf6ZljAxgmF6bfOhza2YcdyWmFsv_iM,India,Platform acquiring e-commerce brands. The company acquires and helps in brand growth across different consumer segments. The company evaluates the businesses and prepares their due diligence. They also have an online store offering fashion accessories and apparel.,"GlobalBees joined the Unicorn Club on Dec 19, 2021",2021-12-19,2021,brands_tech,delhi,Series B,2021,11 months,11,,E-Commerce Enablers,ChrysCapital,"E-Commerce Enablers, ChrysCapital",0.923,186.0,20.8,230.0,"Conventional Debt, Feb 06, 2024, $18.1M",Conventional Debt,2024,18.1,"GlobalBees is an Indian unicorn startup. It operates in the brands_tech sector. It is based in Delhi. Current stage: Series B. Platform acquiring e-commerce brands. The company acquires and helps in brand growth across different consumer segments. The company evaluates the businesses and prepares their due diligence. They also have an online store offering fashion accessories and apparel. GlobalBees joined the Unicorn Club on Dec 19, 2021 Founded in 2021. Time taken to reach unicorn status: 11 months. Joined the unicorn club on 2021-12-19. Became a unicorn in 2021. Investors include E-Commerce Enablers, ChrysCapital. Valuation: 0.923 billion USD. Total funding raised: 186.0 million USD. Annual revenue: 20.8 crore INR. It employs approximately 230 people. Latest funding round: Conventional Debt. The round took place in 2024. Round amount: 18.1 million USD."
83,Pristyn Care,https://tracxn.com/d/companies/pristyn-care/__QEWxHLBugEsT_XwDFV-JrRNqtedJdqnyI8ro2b-OQf0,India,Online platform to book appointments for in-person and virtual consultations. The platform enables users to book an appointment with a team of healthcare experts for in-person or remote consultation for various medical conditions. Users can also book slots for vaccination doses and can track appointments and other surgery-related details by using an app.,"Pristyn Care joined the Unicorn Club on Dec 07, 2021 after raising a $100M Series E funding round led by , ,  and  more, valuing it at $1.37B.",2021-12-07,2021,healthcare_booking_platforms,gurgaon,Series E,2018,3 years 11 months,47,Tiger Global Management,Sequoia Capital,Tiger Global Management,"Sequoia Capital, Tiger Global Management",1.154,181.0,632.0,962.0,"Series E, Dec 07, 2021, $100M",Series E,2021,100.0,"Pristyn Care is an Indian unicorn startup. It operates in the healthcare_booking_platforms sector. It is based in Gurgaon. Current stage: Series E. Online platform to book appointments for in-person and virtual consultations. The platform enables users to book an appointment with a team of healthcare experts for in-person or remote consultation for various medical conditions. Users can also book slots for vaccination doses and can track appointments and other surgery-related details by using an app. Pristyn Care joined the Unicorn Club on Dec 07, 2021 after raising a $100M Series E funding round led by , ,  and  more, valuing it at $1.37B. Founded in 2018. Time taken to reach unicorn status: 3 years 11 months. Joined the unicorn club on 2021-12-07. Became a unicorn in 2021. Investors include Sequoia Capital, Tiger Global Management, latest round led by Tiger Global Management. Valuation: 1.154 billion USD. Total funding raised: 181.0 million USD. Annual revenue: 632.0 crore INR. It employs approximately 962 people. Latest funding round: Series E. The round took place in 2021. Round amount: 100.0 million USD."
82,slice,https://tracxn.com/d/companies/slice/__LbEhc2PUH7DQD8-Q4Qm4ZtTuXgWQcU679J2jsH1U_k4,India,"Provider of personal line of credits for consumers. It offers credit cards for bill payments, cash withdrawals, and online or offline purchases. It enables users to avail cash loans and make repayments in installments. It also provides an app based virtual credit card for online transactions. The application is available on iOS and Android devices.","slice joined the Unicorn Club on Nov 29, 2021 after raising a $220M Series B funding round led by , , valuing it at $1B.",2021-11-29,2021,fintech,guwahati,Series C,2015,6 years 10 months,82,Tiger Global Management,Insight Partners,Tiger Global Management,"Insight Partners, Tiger Global Management",1.8,342.0,868.0,2698.0,"Conventional Debt, Jul 19, 2024, $7.77M",Conventional Debt,2024,7.8,"slice is an Indian unicorn startup. It operates in the fintech sector. It is based in Guwahati. Current stage: Series C. Provider of personal line of credits for consumers. It offers credit cards for bill payments, cash withdrawals, and online or offline purchases. It enables users to avail cash loans and make repayments in installments. It also provides an app based virtual credit card for online transactions. The application is available on iOS and Android devices. slice joined the Unicorn Club on Nov 29, 2021 after raising a $220M Series B funding round led by , , valuing it at $1B. Founded in 2015. Time taken to reach unicorn status: 6 years 10 months. Joined the unicorn club on 2021-11-29. Became a unicorn in 2021. Investors include Insight Partners, Tiger Global Management, latest round led by Tiger Global Management. Valuation: 1.8 billion USD. Total funding raised: 342.0 million USD. Annual revenue: 868.0 crore INR. It employs approximately 2698 people. Latest funding round: Conventional Debt. The round took place in 2024. Round amount: 7.8 million USD."
81,Spinny,https://tracxn.com/d/companies/spinny/__XPTRjqAEv0ME2UC43GvO_tx0bNL9tbZO0XYHhRF0oWE,India,"Online platform for buying second hand cars. The platform allows sellers to schedule an inspection to sell the cars. It allows buyers to search for the preferred car through the platform and schedule a test drive. Users can buy and sell vehicles by providing location, user details, payment details, and more.","Spinny joined the Unicorn Club on Nov 24, 2021 after raising a $283M Series E funding round led by , ,  and  more, valuing it at $1.73B.",2021-11-24,2021,auto_e-commerce_&_content,gurgaon,Series E,2015,6 years 10 months,82,Tiger Global Management,Auto Retail & Aftersales,Norwest Venture Partners,"Auto Retail & Aftersales, Norwest Venture Partners",1.002,631.0,3820.0,5084.0,"Series E, Mar 13, 2025, $110M",Series E,2025,110.0,"Spinny is an Indian unicorn startup. It operates in the auto_e-commerce_&_content sector. It is based in Gurgaon. Current stage: Series E. Online platform for buying second hand cars. The platform allows sellers to schedule an inspection to sell the cars. It allows buyers to search for the preferred car through the platform and schedule a test drive. Users can buy and sell vehicles by providing location, user details, payment details, and more. Spinny joined the Unicorn Club on Nov 24, 2021 after raising a $283M Series E funding round led by , ,  and  more, valuing it at $1.73B. Founded in 2015. Time taken to reach unicorn status: 6 years 10 months. Joined the unicorn club on 2021-11-24. Became a unicorn in 2021. Investors include Auto Retail & Aftersales, Norwest Venture Partners, latest round led by Tiger Global Management. Valuation: 1.002 billion USD. Total funding raised: 631.0 million USD. Annual revenue: 3820.0 crore INR. It employs approximately 5084 people. Latest funding round: Series E. The round took place in 2025. Round amount: 110.0 million USD."
80,NoBroker,https://tracxn.com/d/companies/nobroker/__P5szSU2_yUD6zK8XvpxxDC27tnywWrQ0ruK7T7Uy3xE,India,"Real estate technology company that provides a marketplace for buying and renting properties. It is a real estate technology company that provides online platforms for buying, selling, and renting residential properties. The company offers a range of services, including online property listings, rental management, and payment solutions, generate rent receipts and more.","NoBroker joined the Unicorn Club on Nov 23, 2021 after raising a $210M Series E funding round led by , , , valuing it at $1.02B.",2021-11-23,2021,residential_real_estate_tech,bangalore,Series E,2013,8 years 10 months,106,General Atlantic,Commercial Real Estate Tech,KTB Ventures,"Commercial Real Estate Tech, KTB Ventures",0.863,368.0,683.0,5901.0,"Series E, Mar 01, 2023, $5M",Series E,2023,5.0,"NoBroker is an Indian unicorn startup. It operates in the residential_real_estate_tech sector. It is based in Bangalore. Current stage: Series E. Real estate technology company that provides a marketplace for buying and renting properties. It is a real estate technology company that provides online platforms for buying, selling, and renting residential properties. The company offers a range of services, including online property listings, rental management, and payment solutions, generate rent receipts and more. NoBroker joined the Unicorn Club on Nov 23, 2021 after raising a $210M Series E funding round led by , , , valuing it at $1.02B. Founded in 2013. Time taken to reach unicorn status: 8 years 10 months. Joined the unicorn club on 2021-11-23. Became a unicorn in 2021. Investors include Commercial Real Estate Tech, KTB Ventures, latest round led by General Atlantic. Valuation: 0.863 billion USD. Total funding raised: 368.0 million USD. Annual revenue: 683.0 crore INR. It employs approximately 5901 people. Latest funding round: Series E. The round took place in 2023. Round amount: 5.0 million USD."
79,Mensa Brands,https://tracxn.com/d/companies/mensa-brands/__VAq21RnMKC4y--JpDulw70K2ZeEw-jB5V707ACBHI8k,India,"Crafts global health, wellness, and lifestyle brands for the digital age. This involves the creation and development of brands specifically tailored for digital platforms and consumer engagement strategies within those spaces. The focus is on building brands that resonate with target audiences in the health, wellness, and lifestyle sectors. The process encompasses all aspects of brand building, from initial concept and design to marketing and ongoing management. The goal is to establish brands that are both successful commercially and appealing to consumers.","Mensa Brands joined the Unicorn Club on Nov 16, 2021",2021-11-16,2021,e-commerce_enablers,bangalore,Series B,2021,10 months,10,,Brands Tech,Norwest Venture Partners,"Brands Tech, Norwest Venture Partners",0.967,207.0,598.0,427.0,"Angel, May 07, 2024, $802K",Angel,2024,,"Mensa Brands is an Indian unicorn startup. It operates in the e-commerce_enablers sector. It is based in Bangalore. Current stage: Series B. Crafts global health, wellness, and lifestyle brands for the digital age. This involves the creation and development of brands specifically tailored for digital platforms and consumer engagement strategies within those spaces. The focus is on building brands that resonate with target audiences in the health, wellness, and lifestyle sectors. The process encompasses all aspects of brand building, from initial concept and design to marketing and ongoing management. The goal is to establish brands that are both successful commercially and appealing to consumers. Mensa Brands joined the Unicorn Club on Nov 16, 2021 Founded in 2021. Time taken to reach unicorn status: 10 months. Joined the unicorn club on 2021-11-16. Became a unicorn in 2021. Investors include Brands Tech, Norwest Venture Partners. Valuation: 0.967 billion USD. Total funding raised: 207.0 million USD. Annual revenue: 598.0 crore INR. It employs approximately 427 people. Latest funding round: Angel. The round took place in 2024."
78,Cult.fit,https://tracxn.com/d/companies/cult.fit/__-Wg3Ms2LDV2m_0_AEbIvAhRvY6C13zfasKWCh86DEW4,India,"Provider of fitness memberships encompassing group classes, gyms, and at-home workouts. It offers various membership tiers providing access to different combinations of in-person and virtual fitness options. These options include group fitness classes led by trainers, access to gyms with varying levels of equipment and amenities, and live at-home workout sessions. Memberships also incorporate access to sports activities such as badminton and swimming. The company also provides coaching programs focused on weight loss and wellness resources. The offerings aim to create a holistic fitness experience.","Cult.fit joined the Unicorn Club on Nov 10, 2021 after raising a $180M Series F funding round led by , , valuing it at $1.64B.",2021-11-10,2021,employee_health_it,bangalore,Series F,2016,5 years 10 months,70,Zomato,Fitness & Wellness Tech,Fitness and Wellness Chains,"Fitness & Wellness Tech, Fitness and Wellness Chains",1.47,665.0,1030.0,2382.0,"Series F, Oct 27, 2023, $10.2M",Series F,2023,10.2,"Cult.fit is an Indian unicorn startup. It operates in the employee_health_it sector. It is based in Bangalore. Current stage: Series F. Provider of fitness memberships encompassing group classes, gyms, and at-home workouts. It offers various membership tiers providing access to different combinations of in-person and virtual fitness options. These options include group fitness classes led by trainers, access to gyms with varying levels of equipment and amenities, and live at-home workout sessions. Memberships also incorporate access to sports activities such as badminton and swimming. The company also provides coaching programs focused on weight loss and wellness resources. The offerings aim to create a holistic fitness experience. Cult.fit joined the Unicorn Club on Nov 10, 2021 after raising a $180M Series F funding round led by , , valuing it at $1.64B. Founded in 2016. Time taken to reach unicorn status: 5 years 10 months. Joined the unicorn club on 2021-11-10. Became a unicorn in 2021. Investors include Fitness & Wellness Tech, Fitness and Wellness Chains, latest round led by Zomato. Valuation: 1.47 billion USD. Total funding raised: 665.0 million USD. Annual revenue: 1030.0 crore INR. It employs approximately 2382 people. Latest funding round: Series F. The round took place in 2023. Round amount: 10.2 million USD."
77,MyGlamm,https://tracxn.com/d/companies/myglamm/__o9Zf4IQwfkMFDTCROgEfyczFpbA14aBRDkBlHz6IK00,India,"Online store offering multi-category beauty products. The platform offers a range of products including shampoos, conditioners, hair oils, serums, shower gels, soaps, moisturizers, creams, body lotions, color cosmetics, and makeup accessories. The platform also offers hair tips, makeup tips, skincare tips and makeup tutorials. The mobile application is available for Android and iOS users.","MyGlamm joined the Unicorn Club on Nov 09, 2021",2021-11-09,2021,beauty_&_personal_care_products,mumbai,Series C,2015,6 years 10 months,82,,Beauty Tech,Bessemer Venture Partners,"Beauty Tech, Bessemer Venture Partners",0.106,,910.0,411.0,"Conventional Debt, Sep 28, 2021, $21M",Conventional Debt,2021,21.0,"MyGlamm is an Indian unicorn startup. It operates in the beauty_&_personal_care_products sector. It is based in Mumbai. Current stage: Series C. Online store offering multi-category beauty products. The platform offers a range of products including shampoos, conditioners, hair oils, serums, shower gels, soaps, moisturizers, creams, body lotions, color cosmetics, and makeup accessories. The platform also offers hair tips, makeup tips, skincare tips and makeup tutorials. The mobile application is available for Android and iOS users. MyGlamm joined the Unicorn Club on Nov 09, 2021 Founded in 2015. Time taken to reach unicorn status: 6 years 10 months. Joined the unicorn club on 2021-11-09. Became a unicorn in 2021. Investors include Beauty Tech, Bessemer Venture Partners. Valuation: 0.106 billion USD. Annual revenue: 910.0 crore INR. It employs approximately 411 people. Latest funding round: Conventional Debt. The round took place in 2021. Round amount: 21.0 million USD."
76,Upstox,https://tracxn.com/d/companies/upstox/__41x3SAyhVFyFAhgvwSxWQzI5JdqLGrTaA8XKWN37wcc,India,"Online trading and investing solutions. It enables individuals to buy and sell various financial securities, including stocks, futures, options, commodities, and currencies, with a focus on simplicity and efficiency. The platform offers a range of services, including demat accounts, trading apps, and customer support. With a large user base in India, Upstox aims to democratize access to financial markets and provide a seamless trading experience.","Upstox joined the Unicorn Club on Nov 01, 2021",2021-11-01,2021,investment_tech,mumbai,Series C,2009,12 years 10 months,154,,Tiger Global Management,Innoven Capital,"Tiger Global Management, Innoven Capital",2.615,220.0,1310.0,588.0,"Series C, Sep 16, 2022",Series C,2022,,"Upstox is an Indian unicorn startup. It operates in the investment_tech sector. It is based in Mumbai. Current stage: Series C. Online trading and investing solutions. It enables individuals to buy and sell various financial securities, including stocks, futures, options, commodities, and currencies, with a focus on simplicity and efficiency. The platform offers a range of services, including demat accounts, trading apps, and customer support. With a large user base in India, Upstox aims to democratize access to financial markets and provide a seamless trading experience. Upstox joined the Unicorn Club on Nov 01, 2021 Founded in 2009. Time taken to reach unicorn status: 12 years 10 months. Joined the unicorn club on 2021-11-01. Became a unicorn in 2021. Investors include Tiger Global Management, Innoven Capital. Valuation: 2.615 billion USD. Total funding raised: 220.0 million USD. Annual revenue: 1310.0 crore INR. It employs approximately 588 people. Latest funding round: Series C. The round took place in 2022."
75,ACKO,https://platform.tracxn.com/a/d/company/rRmyh3ZoXKXj2Mqr9t-MDPr2numRcYEBsFDduhwtQSo/acko.com,India,"Multi-category digital insurance and claim management solutions for individuals and businesses. Enables users to purchase, administer, and claim insurance. It provides insurance and quotes for automobiles, health, employees, group medical, third-party liability, electronic devices, and more. Offers solutions for vehicle paperwork management, claim processing, tracking of existing claims, pending challan information management, and more. Also provides micro insurance, insurance quotes, and savings solutions.","ACKO joined the Unicorn Club on Oct 27, 2021 after raising a $255M Series D funding round led by , , , valuing it at $1.07B.",2021-10-27,2021,internet_first_insurance_platforms,bangalore,Series E,2016,5 years 9 months,69,Intact Ventures,Auto E-Commerce & Content,Insurance IT,"Auto E-Commerce & Content, Insurance IT",0.598,,11900.0,28.0,"Series E, May 25, 2023, $137M",Series E,2023,137.0,"ACKO is an Indian unicorn startup. It operates in the internet_first_insurance_platforms sector. It is based in Bangalore. Current stage: Series E. Multi-category digital insurance and claim management solutions for individuals and businesses. Enables users to purchase, administer, and claim insurance. It provides insurance and quotes for automobiles, health, employees, group medical, third-party liability, electronic devices, and more. Offers solutions for vehicle paperwork management, claim processing, tracking of existing claims, pending challan information management, and more. Also provides micro insurance, insurance quotes, and savings solutions. ACKO joined the Unicorn Club on Oct 27, 2021 after raising a $255M Series D funding round led by , , , valuing it at $1.07B. Founded in 2016. Time taken to reach unicorn status: 5 years 9 months. Joined the unicorn club on 2021-10-27. Became a unicorn in 2021. Investors include Auto E-Commerce & Content, Insurance IT, latest round led by Intact Ventures. Valuation: 0.598 billion USD. Annual revenue: 11900.0 crore INR. It employs approximately 28 people. Latest funding round: Series E. The round took place in 2023. Round amount: 137.0 million USD."
74,PharmEasy,https://tracxn.com/d/companies/pharmeasy/__2Q7StqoDSGQ8Zz-PWf1gE_FwmmBq4znWxGlACVQctZ4,India,"Consumer healthcare platform offing a variety of healthcare products. It offers online access to a wide range of prescription and over-the-counter pharmaceuticals, diagnostics, and telehealth services. It also provide content and information on healthcare.","PharmEasy joined the Unicorn Club on Oct 19, 2021",2021-10-19,2021,healthcare_booking_platforms,mumbai,Series F,2015,6 years 9 months,81,,TPG,Temasek,"TPG, Temasek",0.456,688.0,104.0,481.0,"Series F, May 10, 2022",Series F,2022,,"PharmEasy is an Indian unicorn startup. It operates in the healthcare_booking_platforms sector. It is based in Mumbai. Current stage: Series F. Consumer healthcare platform offing a variety of healthcare products. It offers online access to a wide range of prescription and over-the-counter pharmaceuticals, diagnostics, and telehealth services. It also provide content and information on healthcare. PharmEasy joined the Unicorn Club on Oct 19, 2021 Founded in 2015. Time taken to reach unicorn status: 6 years 9 months. Joined the unicorn club on 2021-10-19. Became a unicorn in 2021. Investors include TPG, Temasek. Valuation: 0.456 billion USD. Total funding raised: 688.0 million USD. Annual revenue: 104.0 crore INR. It employs approximately 481 people. Latest funding round: Series F. The round took place in 2022."
